energy_kev phabs_nh0.101_model_model phabs_nh0.101_model_y
8.678425 0.9982606769 0.9982606769
8.738645 0.9982932806 0.9982932806
8.79928 0.9983252287 0.9983252287
8.860335 0.9983566403 0.9983566403
8.921815 0.9983875155 0.9983875155
8.98372 0.9984178543 0.9984178543
9.046055 0.9984476566 0.9984476566
9.10882 0.9984768629 0.9984768629
9.17202 0.998505652 0.998505652
9.23566 0.9985338449 0.9985338449
9.299745 0.9985615611 0.9985615611
9.364275 0.9985888004 0.9985888004
9.42925 0.9986155629 0.9986155629
9.494675 0.998641789 0.998641789
9.560555 0.9986675978 0.9986675978
9.62689 0.9986929297 0.9986929297
9.693685 0.9987178445 0.9987178445
9.76095 0.9987422824 0.9987422824
9.82868 0.9987662435 0.9987662435
9.896875 0.9987897873 0.9987897873
9.965545 0.9988129735 0.9988129735
10.034695 0.9988356829 0.9988356829
10.10432 0.998857975 0.998857975
10.17443 0.9988799095 0.9988799095
10.24503 0.9989014268 0.9989014268
10.316115 0.9989225268 0.9989225268
10.387695 0.9989432693 0.9989432693
10.45977 0.998963654 0.998963654
10.532345 0.9989836216 0.9989836216
10.605425 0.9990032315 0.9990032315
10.67901 0.9990225434 0.9990225434
10.75311 0.9990414381 0.9990414381
10.827725 0.9990600348 0.9990600348
10.902855 0.9990782738 0.9990782738
10.978505 0.9990961552 0.9990961552
11.05468 0.9991137385 0.9991137385
11.131385 0.9991309643 0.9991309643
11.20862 0.999147892 0.999147892
11.28639 0.9991645217 0.9991645217
11.364705 0.9991808534 0.9991808534
11.44356 0.9991968274 0.9991968274
11.52296 0.999212563 0.999212563
11.602915 0.9992280006 0.9992280006
11.683425 0.9992431402 0.9992431402
11.764495 0.9992579818 0.9992579818
11.846125 0.9992725849 0.9992725849
11.92832 0.99928689 0.99928689
12.011085 0.9993009567 0.9993009567
12.094425 0.9993147254 0.9993147254
12.178345 0.9993282557 0.9993282557
12.262845 0.9993415475 0.9993415475
12.34793 0.9993545413 0.9993545413
12.43361 0.9993673563 0.9993673563
12.519885 0.9993798733 0.9993798733
12.606755 0.9993922114 0.9993922114
12.694225 0.9994042516 0.9994042516
12.782305 0.9994161129 0.9994161129
12.871 0.9994277358 0.9994277358
12.960305 0.9994391799 0.9994391799
13.05023 0.999450326 0.999450326
13.14078 0.9994613528 0.9994613528
13.23196 0.9994720817 0.9994720817
13.323775 0.9994826913 0.9994826913
13.416225 0.9994930625 0.9994930625
13.509315 0.9995031953 0.9995031953
13.60305 0.9995132089 0.9995132089
13.697435 0.999522984 0.999522984
